cycle,arm,rank,name,verdict,score,tie,cycle_apfd
188,t0_alone,1,org.apache.airavata.common.utils.ApplicationSettingsTest,0,0.0,0.09611097523647061,0.16666666666666666
188,t0_alone,2,org.apache.airavata.common.utils.SecurityUtilTest,0,0.0,0.7195740511895292,0.16666666666666666
188,t0_alone,3,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.0,0.8374581029375094,0.16666666666666666
188,hist,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.9999915997244541,0.8374581029375094,0.8333333333333334
188,hist,2,org.apache.airavata.common.utils.ApplicationSettingsTest,0,8.09970610146292e-07,0.09611097523647061,0.8333333333333334
188,hist,3,org.apache.airavata.common.utils.SecurityUtilTest,0,8.09970610146292e-07,0.7195740511895292,0.8333333333333334
188,t0,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.9999915997244541,0.8374581029375094,0.8333333333333334
188,t0,2,org.apache.airavata.common.utils.ApplicationSettingsTest,0,8.09970610146292e-07,0.09611097523647061,0.8333333333333334
188,t0,3,org.apache.airavata.common.utils.SecurityUtilTest,0,8.09970610146292e-07,0.7195740511895292,0.8333333333333334
202,t0_alone,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.25235329132537626,0.815755133576451,0.8333333333333334
202,t0_alone,2,org.apache.airavata.common.utils.SecurityUtilTest,0,0.24366109767880598,0.443655907974409,0.8333333333333334
202,t0_alone,3,org.apache.airavata.common.utils.ApplicationSettingsTest,0,0.2403172637741715,0.3462874999237423,0.8333333333333334
202,hist,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.9999713555402518,0.815755133576451,0.8333333333333334
202,hist,2,org.apache.airavata.common.utils.ApplicationSettingsTest,0,1.536283635261964e-06,0.3462874999237423,0.8333333333333334
202,hist,3,org.apache.airavata.common.utils.SecurityUtilTest,0,1.536283635261964e-06,0.443655907974409,0.8333333333333334
202,t0,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.9999713555402518,0.815755133576451,0.8333333333333334
202,t0,2,org.apache.airavata.common.utils.ApplicationSettingsTest,0,1.536283635261964e-06,0.3462874999237423,0.8333333333333334
202,t0,3,org.apache.airavata.common.utils.SecurityUtilTest,0,1.536283635261964e-06,0.443655907974409,0.8333333333333334
214,t0_alone,1,org.apache.airavata.common.utils.ApplicationSettingsTest,0,0.2350531781904893,0.09450557385615987,0.5
214,t0_alone,2,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.16419436795455625,0.048560743713278565,0.5
214,t0_alone,3,org.apache.airavata.common.utils.SecurityUtilTest,0,0.15853876808327494,0.4211616791723173,0.5
214,hist,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.9999664882930078,0.048560743713278565,0.8333333333333334
214,hist,2,org.apache.airavata.common.utils.ApplicationSettingsTest,0,2.191234774337239e-06,0.09450557385615987,0.8333333333333334
214,hist,3,org.apache.airavata.common.utils.SecurityUtilTest,0,2.191234774337239e-06,0.4211616791723173,0.8333333333333334
214,t0,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.9999664882930078,0.048560743713278565,0.8333333333333334
214,t0,2,org.apache.airavata.common.utils.ApplicationSettingsTest,0,2.191234774337239e-06,0.09450557385615987,0.8333333333333334
214,t0,3,org.apache.airavata.common.utils.SecurityUtilTest,0,2.191234774337239e-06,0.4211616791723173,0.8333333333333334
218,t0_alone,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.010718904328921693,0.798966007899965,0.8333333333333334
218,t0_alone,2,org.apache.airavata.common.utils.SecurityUtilTest,0,0.01034969657412401,0.5981476276417128,0.8333333333333334
218,t0_alone,3,org.apache.airavata.common.utils.ApplicationSettingsTest,0,0.010207664601696245,0.9804939195942202,0.8333333333333334
218,hist,1,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.9999650374285325,0.798966007899965,0.8333333333333334
218,hist,2,org.apache.airavata.common.utils.SecurityUtilTest,0,2.784826533008792e-06,0.5981476276417128,0.8333333333333334
218,hist,3,org.apache.airavata.common.utils.ApplicationSettingsTest,0,2.784826533008792e-06,0.9804939195942202,0.8333333333333334
