episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd7492,201,V_bad,V_bad,2026-09-23T09:34:31.345531Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq1:e453b0362737,a2:seq2:06a5709a33bd a3:seq3:ec06c0e82bcf,PASS,S,0,0.588,
etcd7492,201,V_bad,V_bad,2026-09-23T09:34:31.345531Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq1:e453b0362737,a2:seq2:06a5709a33bd a3:seq3:ec06c0e82bcf,PASS,S,0,0.588,
etcd7492,201,V_bad,V_bad,2026-09-23T09:34:31.345531Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq1:e453b0362737,a2:seq2:06a5709a33bd a3:seq3:ec06c0e82bcf,PASS,S,0,0.588,
etcd7492,201,V_ok,V_bad,2026-09-23T09:34:33.077491Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq4:9da2519efe08,a2:seq5:f93706ba898b a3:seq6:4af80b4c1747,PASS,N,0,0.567,
etcd7492,201,V_ok,V_bad,2026-09-23T09:34:33.077491Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq4:9da2519efe08,a2:seq5:f93706ba898b a3:seq6:4af80b4c1747,PASS,N,0,0.567,
etcd7492,201,V_ok,V_bad,2026-09-23T09:34:33.077491Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq4:9da2519efe08,a2:seq5:f93706ba898b a3:seq6:4af80b4c1747,PASS,N,0,0.567,
etcd7492,202,V_bad,V_bad,2026-09-23T09:34:35.388396Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq7:b20e1f400baf,a2:seq8:4a7b39752bff a3:seq9:e93c0f0c728a,PASS,S,0,0.523,
etcd7492,202,V_bad,V_bad,2026-09-23T09:34:35.388396Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq7:b20e1f400baf,a2:seq8:4a7b39752bff a3:seq9:e93c0f0c728a,PASS,S,0,0.523,
etcd7492,202,V_bad,V_bad,2026-09-23T09:34:35.388396Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq7:b20e1f400baf,a2:seq8:4a7b39752bff a3:seq9:e93c0f0c728a,PASS,S,0,0.523,
etcd7492,202,V_ok,V_bad,2026-09-23T09:34:37.017505Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq10:a9b669fe11c8,a2:seq11:657178d4f95b a3:seq12:5c3e8319d226,PASS,N,0,0.551,
